longitude,Has Parking,Cancellation Policy,Has Hot Tub,city,bedrooms,AirDNA Market,adr,Pets Allowed,Occupancy Rate LTM,Max Guests,Listing Type,Host Type,Has Pool,Created Date,bathrooms,Overall Rating,Minimum Stay,Cleaning Fee,Price Tier,Has Kitchen,Number of Reviews,Number of Photos,Number of Bookings LTM,latitude,zipcode
-116.48258,True,strict,True,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",171.82,False,0.207317,4.0,Private room,6-20 Units,True,2023-05-03,1.0,100.0,1.0,20.0,midscale,True,1.0,23.0,9.0,33.95669,92240
-116.46553,True,strict,True,Yucca Valley,4.0,"JOSHUA TREE, CA",246.26,True,0.613636,10.0,Entire home/apt,6-20 Units,True,2023-06-17,2.0,100.0,1.0,175.0,budget,True,10.0,57.0,12.0,34.10753,92284
-116.38834,True,strict,False,Yucca Valley,3.0,"JOSHUA TREE, CA",153.26,False,0.613636,8.0,Entire home/apt,1 Unit,False,2023-05-27,2.0,100.0,2.0,179.0,budget,True,13.0,43.0,9.0,34.12558,92284
-116.32284,True,strict,False,Joshua Tree,2.0,"JOSHUA TREE, CA",194.17,False,0.528736,4.0,Entire home/apt,1 Unit,True,2023-05-05,1.0,100.0,2.0,130.0,budget,True,12.0,57.0,19.0,34.12716,92252
-116.467192322,True,strict,True,Desert Hot Springs,3.0,"COACHELLA VALLEY, CA",416.48,True,0.631579,6.0,Entire home/apt,6-20 Units,True,2023-04-23,3.0,100.0,2.0,195.0,economy,True,10.0,51.0,25.0,33.9481655335,92240
-116.31576,True,strict,True,Joshua Tree,2.0,"JOSHUA TREE, CA",251.18,False,0.375,5.0,Entire home/apt,1 Unit,True,2022-11-08,1.0,97.5625,2.0,150.0,economy,True,16.0,51.0,39.0,34.16596,92252
-116.3961,True,moderate,True,Yucca Valley,4.0,"JOSHUA TREE, CA",340.25,False,0.347305,10.0,Entire home/apt,21+ Units,False,2022-04-25,3.0,89.0,4.0,300.0,economy,True,16.0,83.0,40.0,34.16125,92284
-116.517517,True,flexible,False,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",350.0,False,0.428571,2.0,Private room,2-5 Units,False,2022-04-17,1.0,100.0,1.0,0.0,upscale,True,2.0,13.0,3.0,33.978584,92240
-116.51875,False,flexible,False,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",136.53,False,0.34,2.0,Private room,2-5 Units,False,2023-02-26,2.0,93.0,28.0,50.0,midscale,True,3.0,14.0,5.0,33.97149,92240
-116.48334,True,strict,True,Desert Hot Springs,7.0,"COACHELLA VALLEY, CA",721.57,False,0.430769,16.0,Entire home/apt,6-20 Units,True,2023-05-03,7.0,100.0,1.0,149.0,economy,True,1.0,31.0,18.0,33.95573,92240
